Height/width [cm];Load (UDL) [kN];Displ. [cm];Beam lenght [m]
78.226107;15.645221;0.313787;7.822611
72.499095;14.499819;0.269904;7.249909
74.908283;14.981657;0.287962;7.490828
52.640992;10.528198;0.143337;5.264099
65.247286;13.049457;0.219079;6.524729
84.626415;16.925283;0.366738;8.462641
97.103939;19.420788;0.481833;9.710394
67.573221;13.514644;0.234804;6.757322
68.587026;13.717405;0.241828;6.858703
98.777246;19.755449;0.498461;9.877725
98.26198;19.652396;0.493311;9.826198
71.060081;14.212016;0.259398;7.106008
94.917942;18.983588;0.460536;9.491794
73.991844;14.798369;0.281024;7.399184
56.232646;11.246529;0.163286;5.623265
76.661585;15.332317;0.301471;7.666158
96.351715;19.270343;0.474451;9.635172
76.323127;15.264625;0.298839;7.632313
77.571654;15.514331;0.308605;7.757165
77.021206;15.404241;0.30428;7.702121
93.248196;18.649639;0.444593;9.32482
74.828841;14.965768;0.287357;7.482884
94.860853;18.972171;0.459986;9.486085
76.913044;15.382609;0.303434;7.691304
74.241807;14.848361;0.282908;7.424181
54.246027;10.849205;0.152091;5.424603
58.925223;11.785045;0.179093;5.892522
98.629512;19.725902;0.496982;9.862951
91.324351;18.26487;0.426571;9.132435
84.243513;16.848703;0.363455;8.424351
84.021414;16.804283;0.361556;8.402141
50.814005;10.162801;0.133688;5.0814
62.637953;12.527591;0.202088;6.263795
79.547196;15.909439;0.324379;7.95472
90.064526;18.012905;0.414972;9.006453
77.809389;15.561878;0.310482;7.780939
59.457321;11.891464;0.182303;5.945732
59.595452;11.91909;0.183142;5.959545
56.774122;11.354824;0.166406;5.677412
93.114802;18.62296;0.443331;9.31148
84.285693;16.857139;0.363816;8.428569
65.30663;13.061326;0.219474;6.530663
68.408264;13.681653;0.240582;6.840826
82.898474;16.579695;0.352036;8.289847
81.796382;16.359276;0.342816;8.179638
51.568533;10.313707;0.137632;5.156853
83.336272;16.667254;0.355733;8.333627
92.732212;18.546442;0.439723;9.273221
93.657951;18.73159;0.448479;9.365795
66.722676;13.344535;0.22899;6.672268
89.619731;17.923946;0.410915;8.961973
52.588661;10.517732;0.143056;5.258866
99.943843;19.988769;0.510221;9.994384
82.107997;16.421599;0.34541;aug.08
71.968575;14.393715;0.266007;7.196857
53.397266;10.679453;0.147429;5.339727
77.638242;15.527648;0.30913;7.763824
97.995239;19.599048;0.490655;9.799524
78.399185;15.679837;0.315165;7.839918
61.001259;12.200252;0.19178;6.100126
75.701192;15.140238;0.294033;7.570119
98.474426;19.694885;0.495431;9.847443
76.24887;15.249774;0.298263;7.624887
84.343513;16.868703;0.364311;8.434351
64.755832;12.951166;0.215827;6.475583
97.447975;19.489595;0.485229;9.744798
58.422127;11.684425;0.176084;5.842213
65.370745;13.074149;0.2199;6.537075
83.927318;16.785464;0.360754;8.392732
78.423257;15.684651;0.315356;7.842326
67.204264;13.440853;0.232273;6.720426
86.756263;17.351253;0.385274;8.675626
69.549004;13.909801;0.248589;jun.49
84.456852;16.89137;0.365282;8.445685
92.735513;18.547103;0.439754;9.273551
77.941566;15.588313;0.311529;7.794157
56.420577;11.284115;0.164365;5.642058
61.962379;12.392476;0.1978;6.196238
95.116662;19.023332;0.462452;9.511666
72.673274;14.534655;0.27119;7.267327
70.909754;14.181951;0.258312;7.090975
66.193011;13.238602;0.225407;6.619301
54.971561;10.994312;0.156133;5.497156
74.601676;14.920335;0.285631;7.460168
94.623783;18.924757;0.457707;9.462378
81.432753;16.286551;0.339801;8.143275
50.870162;10.174032;0.13398;5.087016
80.529956;16.105991;0.332372;8.052996
57.578622;11.515724;0.171096;5.757862
86.667261;17.333452;0.384491;8.666726
50.171148;10.03423;0.130373;5.017115
61.462082;12.292416;0.194655;6.146208
81.196267;16.239253;0.337847;8.119627
95.772863;19.154573;0.468808;9.577286
67.41361;13.482722;0.233707;6.741361
85.811267;17.162253;0.376994;8.581127
89.05776;17.811552;0.405818;8.905776
84.064751;16.81295;0.361926;8.406475
68.142642;13.628528;0.238736;6.814264
84.348407;16.869681;0.364353;8.434841
93.146405;18.629281;0.44363;9.314641
67.965527;13.593105;0.23751;6.796553
58.804894;11.760979;0.178371;5.880489
65.234695;13.046939;0.218996;6.523469
99.518411;19.903682;0.505916;9.951841
52.863467;10.572693;0.144535;5.286347
83.039657;16.607931;0.353226;8.303966
65.486991;13.097398;0.220675;6.548699
89.372485;17.874497;0.408669;8.937248
94.027008;18.805402;0.451994;9.402701
96.976689;19.395338;0.480581;9.697669
65.675863;13.135173;0.221936;6.567586
52.878576;10.575715;0.144616;5.287858
55.72591;11.145182;0.160392;5.572591
90.091504;18.018301;0.415219;9.00915
59.50818;11.901636;0.182612;5.950818
93.502866;18.700573;0.447006;9.350287
51.647194;10.329439;0.138047;5.164719
89.71973;17.943946;0.411826;8.971973
83.323079;16.664616;0.355621;8.332308
96.577813;19.315563;0.476664;9.657781
77.892172;15.578434;0.311138;7.789217
57.792124;11.558425;0.172352;5.779212
97.260057;19.452011;0.483373;9.726006
78.252109;15.650422;0.313994;7.825211
55.742182;11.148436;0.160485;5.574218
55.559996;11.111999;0.159451;5.556
73.776141;14.755228;0.279403;7.377614
67.043242;13.408648;0.231173;6.704324
56.924246;11.384849;0.167276;5.692425
88.883807;17.776761;0.404247;8.888381
72.355826;14.471165;0.268849;7.235583
93.819737;18.763947;0.450018;9.381974
60.768256;12.153651;0.190334;6.076826
79.526869;15.905374;0.324214;7.952687
52.944227;10.588845;0.144971;5.294423
57.388117;11.477623;0.16998;5.738812
89.736866;17.947373;0.411982;8.973687
75.083264;15.016653;0.289296;7.508326
91.760315;18.352063;0.430623;9.176032
98.393097;19.678619;0.494619;9.83931
85.383172;17.076634;0.373272;8.538317
91.157471;18.231494;0.425026;9.115747
63.551613;12.710323;0.207959;6.355161
89.690572;17.938114;0.41156;8.969057
84.495284;16.899057;0.365612;8.449528
58.583506;11.716701;0.177047;5.858351
75.470357;15.094071;0.292259;7.547036
55.681359;11.136272;0.160139;5.568136
57.90543;11.581086;0.17302;5.790543
92.308401;18.46168;0.435743;9.23084
87.410566;17.482113;0.391061;8.741057
94.345021;18.869004;0.455034;9.434502
84.819563;16.963913;0.368401;8.481956
87.770593;17.554119;0.394263;8.777059
65.254234;13.050847;0.219126;6.525423
60.173403;12.034681;0.186669;6.01734
61.544837;12.308967;0.195173;6.154484
86.982586;17.396517;0.387271;8.698259
93.776229;18.755246;0.449604;9.377623
97.303471;19.460694;0.483801;9.730347
59.263516;11.852703;0.181131;5.926352
98.443749;19.68875;0.495125;9.844375
82.448239;16.489648;0.348255;8.244824
55.143202;11.02864;0.157097;5.51432
74.620863;14.924173;0.285777;7.462086
71.856127;14.371225;0.265184;7.185613
92.110321;18.422064;0.433889;9.211032
76.199041;15.239808;0.297877;7.619904
87.147277;17.429455;0.388727;8.714728
52.120063;10.424013;0.140552;5.212006
53.766;okt.32;0.149446;mai.66
76.56393;15.312786;0.30071;7.656393
97.959415;19.591883;0.490299;9.795942
84.929983;16.985997;0.369352;8.492998
61.194642;12.238928;0.192984;6.119464
86.734701;17.34694;0.385084;8.67347
94.24051;18.848102;0.454034;9.424051
57.569485;11.513897;0.171043;5.756948
93.756825;18.751365;0.44942;9.375682
97.158677;19.431735;0.482373;9.715868
80.08964;16.017928;0.328779;8.008964
68.094782;13.618956;0.238405;6.809478
59.137811;11.827562;0.180372;5.913781
64.615845;12.923169;0.214905;6.461584
51.473241;10.294648;0.137131;5.147324
78.010805;15.602161;0.312077;7.801081
59.000174;11.800035;0.179544;5.900017
72.997662;14.599532;0.273593;7.299766
64.272635;12.854527;0.212652;6.427264
92.770824;18.554165;0.440086;9.277082
95.84328;19.168656;0.469493;9.584328
52.75428;10.550856;0.143946;5.275428
81.307035;16.261407;0.338761;8.130704
94.456844;18.891369;0.456105;9.445684
89.129581;17.825916;0.406468;8.912958
86.939423;17.387885;0.38689;8.693942
58.709232;11.741846;0.177798;5.870923
58.408412;11.681682;0.176003;5.840841
65.069709;13.013942;0.217901;6.506971
62.639158;12.527832;0.202095;6.263916
66.473185;13.294637;0.227299;6.647319
99.271315;19.854263;0.503425;9.927132
68.534083;13.706817;0.241459;6.853408
55.785367;11.157073;0.160731;5.578537
88.542401;17.70848;0.401171;8.85424
60.846636;12.169327;0.19082;6.084664
96.385605;19.277121;0.474782;9.638561
99.88958;19.977916;0.50967;9.988958
76.575952;15.31519;0.300804;7.657595
78.519533;15.703907;0.316124;7.851953
65.932893;13.186579;0.223658;6.593289
53.975353;10.795071;0.150597;5.397535
93.225761;18.645152;0.444381;9.322576
96.617553;19.323511;0.477053;9.661755
67.213832;13.442766;0.232339;6.721383
91.168734;18.233747;0.42513;9.116873
89.305938;17.861188;0.408065;8.930594
67.832395;13.566479;0.23659;6.783239
53.669961;10.733992;0.148919;5.366996
96.610058;19.322012;0.47698;9.661006
62.855953;12.571191;0.203481;6.285595
69.112658;13.822532;0.245511;6.911266
61.926406;12.385281;0.197573;6.192641
94.376453;18.875291;0.455335;9.437645
56.276783;11.255357;0.163539;5.627678
51.01172;10.202344;0.134716;5.101172
95.256895;19.051379;0.463807;9.525689
53.502571;10.700514;0.148004;5.350257
95.800402;19.16008;0.469076;9.58004
74.255219;14.851044;0.283009;7.425522
78.025469;15.605094;0.312194;7.802547
85.832099;17.16642;0.377175;8.58321
92.499775;18.499955;0.437538;9.249978
81.117667;16.223533;0.337199;8.111767
80.685492;16.137098;0.333646;8.068549
80.818324;16.163665;0.334736;8.081832
99.560699;19.91214;0.506343;9.95607
53.352444;10.670489;0.147185;5.335244
76.073443;15.214689;0.296905;7.607344
90.626606;18.125321;0.420128;9.062661
81.6252;16.32504;0.341395;8.16252
59.110594;11.822119;0.180208;5.911059
96.42171;19.284342;0.475135;9.642171
85.753103;17.150621;0.376487;8.57531
76.837931;15.367586;0.302847;7.683793
91.867927;18.373585;0.431626;9.186793
59.528519;11.905704;0.182735;5.952852
84.689482;16.937896;0.367281;8.468948
77.243012;15.448602;0.306019;7.724301
97.960847;19.592169;0.490313;9.796085
97.633485;19.526697;0.487065;9.763349
90.876837;18.175367;0.422433;9.087684
54.738451;10.94769;0.154829;5.473845
68.459652;13.69193;0.24094;6.845965
99.783205;19.956641;0.508593;9.978321
97.360527;19.472105;0.484365;9.736053
87.344909;17.468982;0.390478;8.734491
74.15763;14.831526;0.282273;7.415763
99.508584;19.901717;0.505817;9.950858
87.530682;17.506136;0.392127;8.753068
65.589741;13.117948;0.22136;6.558974
92.883034;18.576607;0.441144;9.288303
54.089179;10.817836;0.151224;5.408918
52.320733;10.464147;0.141621;5.232073
50.494063;10.098813;0.132033;5.049406
80.100794;16.020159;0.328869;8.010079
61.475577;12.295115;0.194739;6.147558
62.108094;12.421619;0.198721;6.210809
65.932061;13.186412;0.223652;6.593206
86.395507;17.279101;0.382103;8.639551
91.608035;18.321607;0.429205;9.160804
85.953493;17.190699;0.378234;8.595349
91.758951;18.35179;0.43061;9.175895
63.043355;12.608671;0.204683;6.304336
64.984858;12.996972;0.217339;6.498486
53.745359;10.749072;0.149332;5.374536
72.690948;14.53819;0.271321;7.269095
76.173303;15.234661;0.297678;7.61733
67.538521;13.507704;0.234565;6.753852
64.408856;12.881771;0.213545;6.440886
91.483201;18.29664;0.428045;9.14832
60.567413;12.113483;0.189093;6.056741
76.259559;15.251912;0.298346;7.625956
97.839555;19.567911;0.489109;9.783955
76.621734;15.324347;0.30116;7.662173
87.148632;17.429726;0.388739;8.714863
81.093647;16.218729;0.337001;8.109365
74.040124;14.808025;0.281387;7.404012
81.334462;16.266892;0.338988;8.133446
83.324965;16.664993;0.355637;8.332496
93.473415;18.694683;0.446727;9.347342
75.403069;15.080614;0.291743;7.540307
53.84386;10.768772;0.149873;5.384386
88.542761;17.708552;0.401175;8.854276
75.036865;15.007373;0.288942;7.503686
88.742166;17.748433;0.402969;8.874217
55.021415;11.004283;0.156413;5.502142
94.100978;18.820196;0.4527;9.410098
85.259039;17.051808;0.372196;8.525904
96.737137;19.347427;0.478226;9.673714
80.39235;16.07847;0.331247;8.039235
97.420424;19.484085;0.484957;9.742042
68.757421;13.751484;0.243019;6.875742
90.847505;18.169501;0.422162;9.084751
56.352812;11.270562;0.163976;5.635281
61.679992;12.335998;0.196022;6.167999
