Length [m];Hei/Wid [cm];Load [kN/m];Disp [cm]
7.262557;30.767860;19.320126;0.448251
7.671326;30.354211;18.226822;0.555407
6.841970;38.430453;15.269696;0.115043
6.047615;35.872627;15.153188;0.091873
5.062725;35.476511;16.858890;0.052662
8.799148;27.561419;14.109316;1.093265
7.947259;27.096351;15.503049;0.856057
9.459175;29.230980;13.902304;1.137002
9.319764;26.653138;12.462565;1.389057
7.857770;37.931128;12.905212;0.177868
9.578332;33.443182;16.472125;0.827178
7.164373;38.361513;14.578930;0.132909
9.098357;33.335149;17.360053;0.719195
5.040055;34.203211;16.055364;0.056972
5.857599;26.017037;18.962826;0.364321
7.368941;15.141665;18.689894;7.808918
9.263213;31.406285;15.744430;0.889104
7.899064;10.549051;14.567905;34.09103
8.888091;29.210489;15.030811;0.961238
6.145279;34.642811;14.137984;0.104987
8.122632;19.363648;19.997168;4.613423
7.233645;21.381869;13.120623;1.281585
5.009375;14.441780;12.942437;1.396909
6.170875;10.231744;17.812746;17.54760
6.548703;22.472740;15.217753;0.818886
5.899932;30.175699;11.650602;0.127507
9.951513;37.205110;18.233714;0.696843
8.606675;10.761845;13.294546;40.47981
6.235640;20.954233;14.831542;0.867854
6.710298;11.366914;17.490680;15.81668
6.208269;30.483918;11.239408;0.144727
9.877504;32.854827;15.481543;0.943637
6.448887;15.773666;10.951337;2.279945
9.894232;18.253780;15.714056;10.10124
8.939241;12.951254;14.089020;23.80479
6.391931;21.350083;14.782859;0.886129
8.677166;30.211765;16.120177;0.818635
7.428500;31.539839;19.502894;0.448556
6.311648;28.289947;19.570002;0.362582
9.989535;25.603362;10.423171;1.800136
7.451987;34.307768;11.301204;0.188164
9.048265;21.174715;19.353281;4.807724
8.230366;13.449661;15.839043;16.53675
9.763091;32.101822;15.208366;0.970699
7.110024;35.365378;12.690205;0.155208
8.243690;32.395547;18.442985;0.577628
9.378323;31.027938;15.261978;0.950355
5.465766;15.580469;12.788781;1.444082
7.152868;18.366922;11.272212;1.932411
6.721221;26.537279;17.582411;0.540422
8.768762;39.287062;11.987185;0.222456
8.791768;24.150662;11.850238;1.551436
7.598199;15.191166;18.264379;8.513674
7.658461;31.880375;19.269994;0.479545
5.443122;17.104807;13.850293;1.059372
5.028912;19.385991;16.199503;0.547841
7.661951;25.912431;15.284384;0.871790
5.671094;38.198709;17.456950;0.063816
9.498911;23.399887;19.935435;4.033891
9.162793;15.300812;15.208288;14.56253
8.847635;30.356309;15.875602;0.854906
9.340584;26.334506;12.208503;1.440520
8.223534;18.276747;19.070762;5.822942
7.609466;25.286225;14.971885;0.916122
6.649501;17.447210;11.665804;1.834482
9.700827;10.588355;10.990581;57.63307
5.715486;32.587846;13.627592;0.096721
9.204125;25.081369;11.645997;1.574370
6.100814;31.251957;11.966344;0.130149
9.465668;14.666954;14.179967;18.31392
8.691775;24.929901;12.569717;1.384742
6.834714;39.866445;16.241536;0.105281
6.587416;22.259104;14.997904;0.858415
8.898555;13.607126;14.607640;19.89053
8.693291;10.335043;12.836779;47.82971
9.074367;38.188933;10.643888;0.253590
9.003279;17.932208;17.281580;8.178655
5.246283;22.339958;17.734072;0.403133
9.060851;14.866365;15.122541;15.53724
8.305014;30.077193;16.774768;0.727929
6.521609;39.147761;16.388623;0.094760
9.485747;31.624641;15.444933;0.932768
6.453807;32.394923;12.022335;0.141798
9.514419;34.416954;17.249130;0.752010
7.941536;12.079852;15.503495;21.56020
7.416500;16.333256;19.389170;6.140312
7.279305;27.663661;17.217165;0.616377
8.790425;23.893291;11.681344;1.595252
9.451110;11.148973;11.863763;45.60009
8.910329;33.565263;17.889517;0.663361
8.729980;35.437652;19.498475;0.536509
8.006072;32.013056;18.663227;0.545364
7.929588;18.139953;19.567459;5.323044
7.148855;22.989135;14.361713;1.001802
6.141900;35.247053;14.547569;0.100616
8.111403;17.973262;19.092701;5.900332
5.824730;12.897969;10.282519;3.186027
5.620900;28.163437;10.867158;0.129095
8.113590;24.654613;13.542561;1.184571
7.409196;34.777024;11.699623;0.180331
7.528204;39.807700;14.815393;0.141982
